Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"VGL: a high-performance graph processing framework for the NEC SX-Aurora TSUBASA vector architecture","The Journal of Supercomputing","","77","8","10.1007/s11227-020-03564-9","Ilya V. AfanasyevVladimir V. VoevodinKazuhiko KomatsuHiroaki Kobayashi","2021","http://link.springer.com/article/10.1007/s11227-020-03564-9","Article"
"SkePU 2: Flexible and Type-Safe Skeleton Programming for Heterogeneous Parallel Systems","International Journal of Parallel Programming","","46","1","10.1007/s10766-017-0490-5","August ErnstssonLu LiChristoph Kessler","2018","http://link.springer.com/article/10.1007/s10766-017-0490-5","Article"
"Real-time capable solution for optimal control problems: a heterogeneous hardware approach","Automotive and Engine Technology","","3","3 - 4","10.1007/s41104-018-0032-1","Janek HudecekLutz Eckstein","2018","http://link.springer.com/article/10.1007/s41104-018-0032-1","Article"
"Generating custom code for efficient query execution on heterogeneous processors","The VLDB Journal","","27","6","10.1007/s00778-018-0512-y","Sebastian BreßBastian KöcherHenning FunkeSteffen ZeuchTilmann RablVolker Markl","2018","http://link.springer.com/article/10.1007/s00778-018-0512-y","Article"
"Parallel co-location mining with MapReduce and NoSQL systems","Knowledge and Information Systems","","62","4","10.1007/s10115-019-01381-y","Jin Soung YooDouglas BoulwareDavid Kimmey","2020","http://link.springer.com/article/10.1007/s10115-019-01381-y","Article"
"SWIFOLD: Smith-Waterman implementation on FPGA with OpenCL for long DNA sequences","BMC Systems Biology","","12","5","10.1186/s12918-018-0614-6","Enzo RucciCarlos GarciaGuillermo BotellaArmando De GiustiMarcelo NaioufManuel Prieto-Matias","2018","http://link.springer.com/article/10.1186/s12918-018-0614-6","Article"
"Parallel probability density approximation","Behavior Research Methods","","51","6","10.3758/s13428-018-1153-1","Yi-Shin LinAndrew HeathcoteWilliam R. Holmes","2019","http://link.springer.com/article/10.3758/s13428-018-1153-1","Article"
"Parallelization Strategies for Computational Fluid Dynamics Software: State of the Art Review","Archives of Computational Methods in Engineering","","24","2","10.1007/s11831-016-9165-4","Asif AfzalZahid AnsariAhmed Rimaz FaizabadiM. K. Ramis","2017","http://link.springer.com/article/10.1007/s11831-016-9165-4","Article"
"Parallel algorithm for fringe pattern demodulation","Journal of Real-Time Image Processing","","18","6","10.1007/s11554-021-01129-4","Francisco J. Hernandez-LopezRicardo Legarda-SáenzCarlos Brito-Loeza","2021","http://link.springer.com/article/10.1007/s11554-021-01129-4","Article"
"BenchIP: Benchmarking Intelligence Processors","Journal of Computer Science and Technology","","33","1","10.1007/s11390-018-1805-8","Jin-Hua TaoZi-Dong DuQi GuoHui-Ying LanLei ZhangSheng-Yuan ZhouLing-Jie XuCong LiuHai-Feng LiuShan TangAllen RushWillian ChenShao-Li LiuYun-Ji ChenTian-Shi Chen","2018","http://link.springer.com/article/10.1007/s11390-018-1805-8","Article"
"Dawning Nebulae: A PetaFLOPS Supercomputer with a Heterogeneous Structure","Journal of Computer Science and Technology","","26","3","10.1007/s11390-011-1138-3","Ning-Hui SunJing XingZhi-Gang HuoGuang-Ming TanJin XiongBo LiCan Ma","2011","http://link.springer.com/article/10.1007/s11390-011-1138-3","Article"
"High-performance blob-based iterative three-dimensional reconstruction in electron tomography using multi-GPUs","BMC Bioinformatics","","13","10","10.1186/1471-2105-13-S10-S4","Xiaohua WanFa ZhangQi ChuZhiyong Liu","2012","http://link.springer.com/article/10.1186/1471-2105-13-S10-S4","Article"
"Accelerated multiscale space–time finite element simulation and application to high cycle fatigue life prediction","Computational Mechanics","","58","2","10.1007/s00466-016-1296-9","Rui ZhangLihua WenSam NaboulsiThomas EasonVijay K. VasudevanDong Qian","2016","http://link.springer.com/article/10.1007/s00466-016-1296-9","Article"
"High-Performance Computation of Bézier Surfaces on Parallel and Heterogeneous Platforms","International Journal of Parallel Programming","","46","6","10.1007/s10766-017-0506-1","Rafael PalomarJuan Gómez-LunaFaouzi A. CheikhJoaquín Olivares-BuenoOle J. Elle","2018","http://link.springer.com/article/10.1007/s10766-017-0506-1","Article"
"A scalable spatial skyline evaluation system utilizing parallel independent region groups","The VLDB Journal","","28","1","10.1007/s00778-018-0519-4","Wenlu WangJi ZhangMin-Te SunWei-Shinn Ku","2019","http://link.springer.com/article/10.1007/s00778-018-0519-4","Article"
"Performance characterization of data-intensive kernels on AMD Fusion architectures","Computer Science - Research and Development","","28","2 - 3","10.1007/s00450-012-0209-1","Kenneth LeeHeshan LinWu-chun Feng","2013","http://link.springer.com/article/10.1007/s00450-012-0209-1","Article"
"An fast simulation tool for fluid animation in VR application based on GPUs","Multimedia Tools and Applications","","79","23 - 24","10.1007/s11042-019-08002-4","Fengquan ZhangQiuming WeiLiuqing Xu","2020","http://link.springer.com/article/10.1007/s11042-019-08002-4","Article"
"CU++: an object oriented framework for computational fluid dynamics applications using graphics processing units","The Journal of Supercomputing","","67","1","10.1007/s11227-013-0985-9","Dominic D. J. ChandarJayanarayanan SitaramanDimitri Mavriplis","2014","http://link.springer.com/article/10.1007/s11227-013-0985-9","Article"
"Accelerating frequent itemset mining on graphics processing units","The Journal of Supercomputing","","66","1","10.1007/s11227-013-0887-x","Fan ZhangYan ZhangJason D. Bakos","2013","http://link.springer.com/article/10.1007/s11227-013-0887-x","Article"
"Accelerating thread-intensive and explicit memory management programs with dynamic partial reconfiguration","The Journal of Supercomputing","","63","2","10.1007/s11227-012-0828-0","Qianming YangMei WenNan WuChunyuan Zhang","2013","http://link.springer.com/article/10.1007/s11227-012-0828-0","Article"
"Magas: matrix-based asynchronous graph analytics on shared memory systems","The Journal of Supercomputing","","","","10.1007/s11227-021-04091-x","Le LuoYi LiuHailong YangDepei Qian","2021","http://link.springer.com/article/10.1007/s11227-021-04091-x","Article"
"Efficient parallelization of multilevel fast multipole algorithm for electromagnetic simulation on many-core SW26010 processor","The Journal of Supercomputing","","77","2","10.1007/s11227-020-03308-9","Wei-Jia HeMing-Lin YangWu WangXin-Qing Sheng","2021","http://link.springer.com/article/10.1007/s11227-020-03308-9","Article"
"Optimized OpenCL™ kernels for frequency domain image high-boost filters using image vectorization technique","SN Applied Sciences","","1","11","10.1007/s42452-019-1445-9","Ashutosh SatapathyL. M. Jenila Livingston","2019","http://link.springer.com/article/10.1007/s42452-019-1445-9","Article"
"Fast and accurate protein substructure searching with simulated annealing and GPUs","BMC Bioinformatics","","11","1","10.1186/1471-2105-11-446","Alex D StivalaPeter J StuckeyAnthony I Wirth","2010","http://link.springer.com/article/10.1186/1471-2105-11-446","Article"
"Implementation of Digital Watermarking Algorithms in Parallel Hardware Accelerators","International Journal of Parallel Programming","","45","5","10.1007/s10766-016-0459-9","Andrzej GłowaczMarcin Pietroń","2017","http://link.springer.com/article/10.1007/s10766-016-0459-9","Article"
"Programming high-performance parallel computations: formal models and graphics processing units","Cybernetics and Systems Analysis","","47","4","10.1007/s10559-011-9346-y","P. I. AndonA. Yu. DoroshenkoK. A. Zhereb","2011","http://link.springer.com/article/10.1007/s10559-011-9346-y","Article"
"Parallel mutual information estimation for inferring gene regulatory networks on GPUs","BMC Research Notes","","4","1","10.1186/1756-0500-4-189","Haixiang ShiBertil SchmidtWeiguo LiuWolfgang Müller-Wittig","2011","http://link.springer.com/article/10.1186/1756-0500-4-189","Article"
"A Credit-Based Load-Balance-Aware CTA Scheduling Optimization Scheme in GPGPU","International Journal of Parallel Programming","","44","1","10.1007/s10766-014-0318-5","Yulong YuXubin HeHe GuoYuxin WangXin Chen","2016","http://link.springer.com/article/10.1007/s10766-014-0318-5","Article"
"SkePU 3: Portable High-Level Programming of Heterogeneous Systems and HPC Clusters","International Journal of Parallel Programming","","49","6","10.1007/s10766-021-00704-3","August ErnstssonJohan AhlqvistStavroula ZouzoulaChristoph Kessler","2021","http://link.springer.com/article/10.1007/s10766-021-00704-3","Article"
"MeshCleaner: A Generic and Straightforward Algorithm for Cleaning Finite Element Meshes","International Journal of Parallel Programming","","46","3","10.1007/s10766-017-0507-0","Gang MeiSalvatore CuomoHong TianNengxiong XuLinjun Peng","2018","http://link.springer.com/article/10.1007/s10766-017-0507-0","Article"
"General-purpose coordinator–master–worker model for efficient large-scale simulation over heterogeneous infrastructure","Journal of Simulation","","11","3","10.1057/s41273-016-0044-7","Bilel Ben RomdhanneNavid Nikaein","2017","http://link.springer.com/article/10.1057/s41273-016-0044-7","Article"
"Performance evaluation of Unified Memory with prefetching and oversubscription for selected parallel CUDA applications on NVIDIA Pascal and Volta GPUs","The Journal of Supercomputing","","75","11","10.1007/s11227-019-02966-8","Marcin KnapPaweł Czarnul","2019","http://link.springer.com/article/10.1007/s11227-019-02966-8","Article"
"A survey of cloud resource management for complex engineering applications","Frontiers of Computer Science","","10","3","10.1007/s11704-015-4207-x","Haibao ChenSong WuHai JinWenguang ChenJidong ZhaiYingwei LuoXiaolin Wang","2016","http://link.springer.com/article/10.1007/s11704-015-4207-x","Article"
"Parallel fractal image compression using quadtree partition with task and dynamic parallelism","Journal of Real-Time Image Processing","","","","10.1007/s11554-021-01193-w","Francisco J. Hernandez-LopezOmar Muñiz-Pérez","2022","http://link.springer.com/article/10.1007/s11554-021-01193-w","Article"
"On parallel local search for permutations","Journal of the Operational Research Society","","66","5","10.1057/jors.2014.29","Atle RiiseEdmund K Burke","2015","http://link.springer.com/article/10.1057/jors.2014.29","Article"
"Association Rules Mining","SN Computer Science","","2","6","10.1007/s42979-021-00819-x","Leila HAMDADKarima BENATCHBA","2021","http://link.springer.com/article/10.1007/s42979-021-00819-x","Article"
"Implementation of a high-throughput low-latency polyphase channelizer on GPUs","EURASIP Journal on Advances in Signal Processing","","2014","1","10.1186/1687-6180-2014-141","Scott C KimShuvra S Bhattacharyya","2014","http://link.springer.com/article/10.1186/1687-6180-2014-141","Article"
"PRODA: improving parallel programs on GPUs through dependency analysis","Cluster Computing","","22","1","10.1007/s10586-017-1295-4","Xiong WeiMing HuTao PengMinghua JiangZhiying WangXiao Qin","2019","http://link.springer.com/article/10.1007/s10586-017-1295-4","Article"
"Protecting lightweight block cipher implementation in mobile big data computing","Peer-to-Peer Networking and Applications","","11","2","10.1007/s12083-016-0481-0","Weidong QiuBozhong LiuCan GeLingzhi XuXiaoming TangGuozhen Liu","2018","http://link.springer.com/article/10.1007/s12083-016-0481-0","Article"
"Coupling SIMD and SIMT architectures to boost performance of a phylogeny-aware alignment kernel","BMC Bioinformatics","","13","1","10.1186/1471-2105-13-196","Nikolaos AlachiotisSimon A BergerAlexandros Stamatakis","2012","http://link.springer.com/article/10.1186/1471-2105-13-196","Article"
"Algorithms and framework for computing 2-body statistics on GPUs","Distributed and Parallel Databases","","37","4","10.1007/s10619-018-7238-0","Napath PitaksiriananZhila Nouri LewisYi-Cheng Tu","2019","http://link.springer.com/article/10.1007/s10619-018-7238-0","Article"
"Fast T-overlap query algorithms using graphics processor units and its applications in web data query","World Wide Web","","18","2","10.1007/s11280-013-0232-6","Mengjuan LiLianyin JiaJinguo YouJianqing XiHaiFei QinRui Zeng","2015","http://link.springer.com/article/10.1007/s11280-013-0232-6","Article"
"Gravitational wave astrophysics, data analysis and multimessenger astronomy","Science China Physics, Mechanics & Astronomy","","58","12","10.1007/s11433-015-5740-1","Hyung Mok LeeEric-Olivier Le BigotZhiHui DuZhangXi LinXiangYu GuoLinQing WenKhun Sang PhukonVihan PandeySukanta BoseXi-Long FanMartin Hendry","2015","http://link.springer.com/article/10.1007/s11433-015-5740-1","Article"
"Revised simplex algorithm for linear programming on GPUs with CUDA","Multimedia Tools and Applications","","77","22","10.1007/s11042-018-5947-z","Lili HeHongtao BaiYu JiangDantong OuyangShanshan Jiang","2018","http://link.springer.com/article/10.1007/s11042-018-5947-z","Article"
"Accelerating large-scale protein structure alignments with graphics processing units","BMC Research Notes","","5","1","10.1186/1756-0500-5-116","Bin PangNan ZhaoMichela BecchiDmitry KorkinChi-Ren Shyu","2012","http://link.springer.com/article/10.1186/1756-0500-5-116","Article"
"High resolution topology optimization using graphics processing units (GPUs)","Structural and Multidisciplinary Optimization","","49","2","10.1007/s00158-013-0980-z","Vivien J. ChallisAnthony P. RobertsJoseph F. Grotowski","2014","http://link.springer.com/article/10.1007/s00158-013-0980-z","Article"
"Integration of Dataflow-Based Heterogeneous Multiprocessor Scheduling Techniques in GNU Radio","Journal of Signal Processing Systems","","70","2","10.1007/s11265-012-0696-0","George F. ZakiWilliam PlishkerShuvra S. BhattacharyyaCharles ClancyJohn Kuykendall","2013","http://link.springer.com/article/10.1007/s11265-012-0696-0","Article"
"A robust optimization model for agile and build-to-order supply chain planning under uncertainties","Annals of Operations Research","","240","2","10.1007/s10479-013-1421-5","Morteza LalmazloumianKuan Yew WongKannan GovindanDevika Kannan","2016","http://link.springer.com/article/10.1007/s10479-013-1421-5","Article"
"Real-Time Big Data Stream Processing Using GPU with Spark Over Hadoop Ecosystem","International Journal of Parallel Programming","","46","3","10.1007/s10766-017-0513-2","M. Mazhar RathoreHojae SonAwais AhmadAnand PaulGwanggil Jeon","2018","http://link.springer.com/article/10.1007/s10766-017-0513-2","Article"
"SIMD Monte-Carlo Numerical Simulations Accelerated on GPU and Xeon Phi","International Journal of Parallel Programming","","46","3","10.1007/s10766-017-0509-y","Bastien PlazollesDidier El BazMartin SpelVincent RivolaPascal Gegout","2018","http://link.springer.com/article/10.1007/s10766-017-0509-y","Article"
"Paradigm Shift in Big Data SuperComputing: DataFlow vs. ControlFlow","Journal of Big Data","","2","1","10.1186/s40537-014-0010-z","Nemanja TrifunovicVeljko MilutinovicJakob SalomAnton Kos","2015","http://link.springer.com/article/10.1186/s40537-014-0010-z","Article"
"Scheduling Parallel Computations by Work Stealing: A Survey","International Journal of Parallel Programming","","46","2","10.1007/s10766-016-0484-8","Jixiang YangQingbi He","2018","http://link.springer.com/article/10.1007/s10766-016-0484-8","Article"
"GHOST: Building Blocks for High Performance Sparse Linear Algebra on Heterogeneous Systems","International Journal of Parallel Programming","","45","5","10.1007/s10766-016-0464-z","Moritz KreutzerJonas ThiesMelven Röhrig-ZöllnerAndreas PieperFaisal ShahzadMartin GalgonAchim BasermannHolger FehskeGeorg HagerGerhard Wellein","2017","http://link.springer.com/article/10.1007/s10766-016-0464-z","Article"
"Parallel performance analysis of coupled heat and fluid flow in parallel plate channel using CUDA","Computational and Applied Mathematics","","39","3","10.1007/s40314-020-01244-1","Asif AfzalZahid AnsariM. K. Ramis","2020","http://link.springer.com/article/10.1007/s40314-020-01244-1","Article"
"Elastodynamic full waveform inversion on GPUs with time-space tiling and wavefield reconstruction","The Journal of Supercomputing","","77","3","10.1007/s11227-020-03352-5","Ole Edvard AakerEspen Birger RaknesBørge Arntsen","2021","http://link.springer.com/article/10.1007/s11227-020-03352-5","Article"
"COMPSs-Mobile: Parallel Programming for Mobile Cloud Computing","Journal of Grid Computing","","15","3","10.1007/s10723-017-9409-z","F. LordanRosa M. Badia","2017","http://link.springer.com/article/10.1007/s10723-017-9409-z","Article"
"Implementation and evaluation of parallel FFT on Engineering and Scientific Computation Accelerator (ESCA) architecture","Journal of Zhejiang University SCIENCE C","","12","12","10.1631/jzus.C1100027","Dan WuXue-cheng ZouKui DaiJin-li RaoPan ChenZhao-xia Zheng","2011","http://link.springer.com/article/10.1631/jzus.C1100027","Article"
"Pattern matching of signature-based IDS using Myers algorithm under MapReduce framework","EURASIP Journal on Information Security","","2017","1","10.1186/s13635-017-0062-7","Monther AldwairiAnsam M. Abu-DaloMoath Jarrah","2017","http://link.springer.com/article/10.1186/s13635-017-0062-7","Article"
"Personalizable edge services for Web accessibility","Universal Access in the Information Society","","6","3","10.1007/s10209-007-0091-y","Ugo ErraGennaro IaccarinoDelfina MalandrinoVittorio Scarano","2007","http://link.springer.com/article/10.1007/s10209-007-0091-y","Article"
"3D Tomography Back-Projection Parallelization on Intel FPGAs Using OpenCL","Journal of Signal Processing Systems","","91","7","10.1007/s11265-018-1403-6","Maxime MartelliNicolas GacAlain MérigotCyrille Enderli","2019","http://link.springer.com/article/10.1007/s11265-018-1403-6","Article"
"Interval-based performance modeling for the all-pairs-shortest-path problem on GPUs","The Journal of Supercomputing","","71","11","10.1007/s11227-015-1514-9","Jörg DümmlerSebastian Egerland","2015","http://link.springer.com/article/10.1007/s11227-015-1514-9","Article"
"Highly interactive computational steering for coupled 3D flow problems utilizing multiple GPUs","Computing and Visualization in Science","","13","7","10.1007/s00791-010-0151-3","Jan LinxweilerManfred KrafczykJonas Tölke","2010","http://link.springer.com/article/10.1007/s00791-010-0151-3","Article"
"Performance evaluation of unified memory and dynamic parallelism for selected parallel CUDA applications","The Journal of Supercomputing","","73","12","10.1007/s11227-017-2091-x","Łukasz JarząbekPaweł Czarnul","2017","http://link.springer.com/article/10.1007/s11227-017-2091-x","Article"
"Gravitational search algorithm using CUDA: a case study in high-performance metaheuristics","The Journal of Supercomputing","","71","4","10.1007/s11227-014-1360-1","Amirreza ZarrabiKhairulmizam SamsudinEttikan K. Karuppiah","2015","http://link.springer.com/article/10.1007/s11227-014-1360-1","Article"
"Environment for integration of distributed heterogeneous computing systems","Journal of Internet Services and Applications","","9","1","10.1186/s13174-017-0072-1","Thiago W. B. SilvaDaniel C. MoraisHalamo G. R. AndradeAntonio M. N. LimaElmar U. K. MelcherAlisson V. Brito","2018","http://link.springer.com/article/10.1186/s13174-017-0072-1","Article"
"Implementation of algorithms with a fine-grained parallelism on GPUs","Numerical Analysis and Applications","","4","1","10.1134/S1995423911010058","K. V. Kalgin","2011","http://link.springer.com/article/10.1134/S1995423911010058","Article"
"Scalable SIMD-parallel memory allocation for many-core machines","The Journal of Supercomputing","","64","3","10.1007/s11227-011-0680-7","Xiaohuang HuangChristopher I. RodriguesStephen JonesIan BuckWen-mei Hwu","2013","http://link.springer.com/article/10.1007/s11227-011-0680-7","Article"
"Fast block QR update in digital signal processing","The Journal of Supercomputing","","75","3","10.1007/s11227-018-2298-5","Fran J. AlventosaPedro AlonsoAntonio M. VidalGema PiñeroEnrique S. Quintana-Ortí","2019","http://link.springer.com/article/10.1007/s11227-018-2298-5","Article"
"Accelerated image factorization based on improved NMF algorithm","Journal of Real-Time Image Processing","","15","1","10.1007/s11554-018-0785-9","Minghui SongYuanxi PengTian JiangJun LiSongsong Zhang","2018","http://link.springer.com/article/10.1007/s11554-018-0785-9","Article"
"A preliminary evaluation of OpenACC implementations","The Journal of Supercomputing","","65","3","10.1007/s11227-012-0853-z","Ruymán ReyesIván LópezJuan J. FumeroFrancisco de Sande","2013","http://link.springer.com/article/10.1007/s11227-012-0853-z","Article"
"High-performance pseudo-anonymization of virtual power plant data on a CPU cluster","Cluster Computing","","","","10.1007/s10586-021-03526-7","Mahdi AbbasiAzam Fazel NajafabadiSeifeddine Ben ElghaliMohamed ZerrouguiMohammad R. KhosraviHabib Nasser","2022","http://link.springer.com/article/10.1007/s10586-021-03526-7","Article"
"Optimizing the Matrix Multiplication Using Strassen and Winograd Algorithms with Limited Recursions on Many-Core","International Journal of Parallel Programming","","44","4","10.1007/s10766-015-0378-1","Ayaz ul Hassan KhanMayez Al-MouhamedAllam FatayerNazeeruddin Mohammad","2016","http://link.springer.com/article/10.1007/s10766-015-0378-1","Article"
"Biased solution of integral illumination equation via irradiance caching and path tracing on GPUs","Programming and Computer Software","","37","5","10.1134/S0361768811050021","V. A. FrolovA. A. KharlamovA. V. Ignatenko","2011","http://link.springer.com/article/10.1134/S0361768811050021","Article"
"QoS4IVSaaS: a QoS management framework for intelligent video surveillance as a service","Personal and Ubiquitous Computing","","20","5","10.1007/s00779-016-0945-5","Weishan ZhangPengcheng DuanXiaodan XieFeng XiaQinghua LuXin LiuJiehan Zhou","2016","http://link.springer.com/article/10.1007/s00779-016-0945-5","Article"
"Parallel implementations of frame rate up-conversion algorithm using OpenCL on heterogeneous computing devices","Multimedia Tools and Applications","","78","7","10.1007/s11042-018-6532-1","Huming ZhuDuo WangPeng ZhangZheng LuoLicheng JiaoHong Han","2019","http://link.springer.com/article/10.1007/s11042-018-6532-1","Article"
"Thread-scalable evaluation of multi-jet observables","The European Physical Journal C","","71","7","10.1140/epjc/s10052-011-1703-5","Walter T. GieleGerben C. StavengaJan Winter","2011","http://link.springer.com/article/10.1140/epjc/s10052-011-1703-5","Article"
"Protein alignment algorithms with an efficient backtracking routine on multiple GPUs","BMC Bioinformatics","","12","1","10.1186/1471-2105-12-181","Jacek BlazewiczWojciech FrohmbergMichal KierzynkaErwin PeschPawel Wojciechowski","2011","http://link.springer.com/article/10.1186/1471-2105-12-181","Article"
"Accelerating the scoring module of mass spectrometry-based peptide identification using GPUs","BMC Bioinformatics","","15","1","10.1186/1471-2105-15-121","You LiHao ChiLeihao XiaXiaowen Chu","2014","http://link.springer.com/article/10.1186/1471-2105-15-121","Article"
"A 2589 line topology optimization code written for the graphics card","Computing and Visualization in Science","","14","6","10.1007/s00791-012-0180-1","Stephan SchmidtVolker Schulz","2011","http://link.springer.com/article/10.1007/s00791-012-0180-1","Article"
"Real-time implementation of remotely sensed hyperspectral image unmixing on GPUs","Journal of Real-Time Image Processing","","10","3","10.1007/s11554-012-0269-2","Sergio SánchezRui RamalhoLeonel SousaAntonio Plaza","2015","http://link.springer.com/article/10.1007/s11554-012-0269-2","Article"
"H.264/AVC inter prediction for heterogeneous computing systems","The Journal of Supercomputing","","64","1","10.1007/s11227-012-0782-x","Rafael Rodríguez-SánchezJosé Luis MartínezGerardo Fernández-EscribanoJosé Manuel ClaverJosé L. Sánchez","2013","http://link.springer.com/article/10.1007/s11227-012-0782-x","Article"
"Memory bandwidth optimization of SpMV on GPGPUs","Frontiers of Computer Science","","9","3","10.1007/s11704-014-4127-1","Chenggang Clarence YanHui YuWeizhi XuYingping ZhangBochuan ChenZhu TianYuxuan WangJian Yin","2015","http://link.springer.com/article/10.1007/s11704-014-4127-1","Article"
"Practical Implementation of Prestack Kirchhoff Time Migration on a General Purpose Graphics Processing Unit","Acta Geophysica","","64","4","10.1515/acgeo-2016-0033","Guofeng LiuChun Li","2016","http://link.springer.com/article/10.1515/acgeo-2016-0033","Article"
"Serverless streaming for emerging media: towards 5G network-driven cost optimization","Multimedia Tools and Applications","","","","10.1007/s11042-020-10219-7","Konstantinos KonstantoudakisDavid BreitgandAlexandros DoumanoglouNikolaos ZioulisAvi WeitKyriaki ChristakiPetros DrakoulisEmmanouil ChristakisDimitrios ZarpalasPetros Daras","2021","http://link.springer.com/article/10.1007/s11042-020-10219-7","Article"
"Systolic neighborhood search on graphics processing units","Soft Computing","","18","1","10.1007/s00500-013-1041-7","Pablo VidalFrancisco LunaEnrique Alba","2014","http://link.springer.com/article/10.1007/s00500-013-1041-7","Article"
"A scalable and fast OPTICS for clustering trajectory big data","Cluster Computing","","18","2","10.1007/s10586-014-0413-9","Ze DengYangyang HuMao ZhuXiaohui HuangBo Du","2015","http://link.springer.com/article/10.1007/s10586-014-0413-9","Article"
"Implementation of a Multirate Resampler for Multi-carrier Systems on GPUs","Journal of Signal Processing Systems","","89","3","10.1007/s11265-017-1239-5","Scott C. KimShuvra S. Bhattacharyya","2017","http://link.springer.com/article/10.1007/s11265-017-1239-5","Article"
"GPGPU Based Parallel Implementation of Spectral Correlation Density Function","Journal of Signal Processing Systems","","92","1","10.1007/s11265-019-01448-7","Scott MarshallGarrett VanhoyAli AkogluTamal BoseBo Ryu","2020","http://link.springer.com/article/10.1007/s11265-019-01448-7","Article"
"On parallel software engineering education using python","Education and Information Technologies","","23","1","10.1007/s10639-017-9607-0","Ami Marowka","2018","http://link.springer.com/article/10.1007/s10639-017-9607-0","Article"
"Virtualizing high-end GPGPUs on ARM clusters for the next generation of high performance cloud computing","Cluster Computing","","17","1","10.1007/s10586-013-0341-0","Raffaele MontellaGiulio GiuntaGiuliano Laccetti","2014","http://link.springer.com/article/10.1007/s10586-013-0341-0","Article"
"Enhancing the performance of decision tree-based packet classification algorithms using CPU cluster","Cluster Computing","","23","4","10.1007/s10586-020-03081-7","Mahdi AbbasiAazad Shokrollahi","2020","http://link.springer.com/article/10.1007/s10586-020-03081-7","Article"
"An Adaptive Heterogeneous Runtime Framework for Irregular Applications","Journal of Signal Processing Systems","","80","3","10.1007/s11265-014-0916-x","Chih-Chen KaoWei-Chung Hsu","2015","http://link.springer.com/article/10.1007/s11265-014-0916-x","Article"
"Combining Data and Computation Distribution Directives for Hybrid Parallel Programming : A Transformation System","International Journal of Parallel Programming","","44","6","10.1007/s10766-016-0428-3","Rachid HabelFrédérique Silber-ChaussumierFrançois IrigoinElisabeth BrunetFrançois Trahay","2016","http://link.springer.com/article/10.1007/s10766-016-0428-3","Article"
"Exploiting GPUs with the Super Instruction Architecture","International Journal of Parallel Programming","","44","2","10.1007/s10766-014-0319-4","Nakul JindalVictor LotrichErik DeumensBeverly A. Sanders","2016","http://link.springer.com/article/10.1007/s10766-014-0319-4","Article"
"Accelerating exact and approximate inference for (distributed) discrete optimization with GPUs","Constraints","","23","1","10.1007/s10601-017-9274-1","Ferdinando FiorettoEnrico PontelliWilliam YeohRina Dechter","2018","http://link.springer.com/article/10.1007/s10601-017-9274-1","Article"
"A heterogeneous parallel Red–Black SOR technique and the numerical study on SIMPLE","The Journal of Supercomputing","","76","12","10.1007/s11227-020-03221-1","Ruitian LiLiang GongMinghai Xu","2020","http://link.springer.com/article/10.1007/s11227-020-03221-1","Article"
"A parallel algorithm for the Riesz fractional reaction-diffusion equation with explicit finite difference method","Fractional Calculus and Applied Analysis","","16","3","10.2478/s13540-013-0041-8","Chunye GongWeimin BaoGuojian Tang","2013","http://link.springer.com/article/10.2478/s13540-013-0041-8","Article"
"Specification and Implementation of the Universal Time Coordinated Synchronization Unit (UTCSU)","Real-Time Systems","","12","3","10.1023/A:1007953214631","Klaus SchossmaierUlrich SchmidMartin HorauerDietmar Loy","1997","http://link.springer.com/article/10.1023/A%3A1007953214631","Article"
"Formalised Composition and Interaction for Heterogeneous Structured Parallelism","International Journal of Parallel Programming","","46","1","10.1007/s10766-017-0511-4","Mehdi GoliHoracio González-Vélez","2018","http://link.springer.com/article/10.1007/s10766-017-0511-4","Article"
"MapReduce and Its Applications, Challenges, and Architecture: a Comprehensive Review and Directions for Future Research","Journal of Grid Computing","","15","3","10.1007/s10723-017-9408-0","Seyed Nima KhezrNima Jafari Navimipour","2017","http://link.springer.com/article/10.1007/s10723-017-9408-0","Article"
"Parallel bitsliced AES through PHAST: a single-source high-performance library for multi-cores and GPUs","Journal of Cryptographic Engineering","","9","2","10.1007/s13389-017-0175-4","Biagio PeccerilloSandro BartoliniÇetin Kaya Koç","2019","http://link.springer.com/article/10.1007/s13389-017-0175-4","Article"
"A modified ZS thinning algorithm by a hybrid approach","The Visual Computer","","34","5","10.1007/s00371-017-1407-4","Lynda Ben BoudaoudBasel SolaimanAbdelkamel Tari","2018","http://link.springer.com/article/10.1007/s00371-017-1407-4","Article"
"Toward fault-tolerant hybrid programming over large-scale heterogeneous clusters via checkpointing/restart optimization","The Journal of Supercomputing","","75","8","10.1007/s11227-017-2116-5","Cheng ChenYunfei DuKe ZuoJianbin FangCanqun Yang","2019","http://link.springer.com/article/10.1007/s11227-017-2116-5","Article"
"O2WebCL: an automatic OpenCL-to-WebCL translator for high performance web computing","The Journal of Supercomputing","","71","6","10.1007/s11227-014-1260-4","Myeongjin ChoYoungsun HanMinseong KimSeon Wook Kim","2015","http://link.springer.com/article/10.1007/s11227-014-1260-4","Article"
"Multicore and Manycore Implementations of ADMM-based Decoders for LDPC Decoding","Journal of Signal Processing Systems","","90","11","10.1007/s11265-017-1284-0","Imen DebbabiBertrand Le GalNadia KhoujaFethi TliliChristophe Jégo","2018","http://link.springer.com/article/10.1007/s11265-017-1284-0","Article"
